region,income
alabama,51113
alaska,72231
arizona,61125
arkansas ,48829
california,69759
colorado,74172
connecticut,72780
delaware,62318
florida,53681
georgia,57016
idaho,60208
illinois,64609
indiana,58873
iowa,63481
kansas,57872
kentucky,51348
louisiana,43903
maine,51664
maryland,81084
massachusetts,73227
michigan,57700
minnesota,71920
mississippi,43441
missouri,56885
montana,59087
nebraska,59619
nevada,56550
new hampshire,74801
new jersey,72997
new mexico,47855
new york,62447
north carolina,50343
north dakota,59886
ohio,59768
oklahoma,55006
oregon,64610
pennsylvania,63173
rhode island,66390
south carolina,54971
south dakota,56894
tennessee,55240
texas,59295
utah,71319
vermont,63805
virginia,71293
washington,75418
west virginia,45392
wisconsin,63451
wyoming,57837